periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2022,2022-01-01,2022-12-31,260,2019-01-01,2021-12-31,1.362965,3.210008,1.79165,0.520418,363.0004,227693.5156,477.1724,0.079974
2023,2023-01-01,2023-12-31,260,2020-01-01,2022-12-31,1.456811,2.815484,1.67794,7.005606,544.2777,392995.625,626.8936,0.131828
2024,2024-01-01,2024-12-31,262,2021-01-01,2023-12-31,0.422199,0.275076,0.524477,1.416973,168.3771,43750.5273,209.1663,0.040316
2025,2025-01-01,2025-12-31,261,2022-01-01,2024-12-31,1.048432,1.378246,1.173987,5.901535,346.1399,150227.3906,387.5918,0.08748
