periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1998-S1,1998-01-01,1998-06-30,129,1993-01-01,1997-12-31,0.420504,0.204975,0.452741,0.139717,59.6446,4123.855,64.2172,0.04359
1998-S2,1998-07-01,1998-12-31,132,1993-07-01,1998-06-30,0.626441,0.552625,0.743388,0.204547,110.2965,17131.4062,130.887,0.07148
1999-S1,1999-01-01,1999-06-30,129,1994-01-01,1998-12-31,0.237313,0.107684,0.328152,0.089757,51.8172,5133.9883,71.6519,0.031398
1999-S2,1999-07-01,1999-12-31,132,1994-07-01,1999-06-30,0.828757,0.756683,0.869875,0.267514,210.0457,48605.707,220.467,0.10866
2000-S1,2000-01-01,2000-06-30,130,1995-01-01,1999-12-31,0.254165,0.110771,0.332823,0.101398,81.3117,11337.0791,106.4757,0.039448
2000-S2,2000-07-01,2000-12-31,130,1995-07-01,2000-06-30,0.151491,0.028663,0.169302,0.066809,54.7461,3743.3477,61.1829,0.025015
2001-S1,2001-01-01,2001-06-30,130,1996-01-01,2000-12-31,0.24341,0.069422,0.26348,0.121255,98.7297,11421.3447,106.8707,0.042826
2001-S2,2001-07-01,2001-12-31,131,1996-07-01,2001-06-30,0.060438,0.004729,0.068766,0.038603,26.5771,914.4087,30.2392,0.011542
2002-S1,2002-01-01,2002-06-30,129,1997-01-01,2001-12-31,0.077339,0.008597,0.092719,0.060738,33.7525,1637.3961,40.4648,0.014659
2002-S2,2002-07-01,2002-12-31,132,1997-07-01,2002-06-30,0.961936,1.015595,1.007767,0.439651,385.0588,162735.6094,403.405,0.140038
2003-S1,2003-01-01,2003-06-30,129,1998-01-01,2002-12-31,0.20832,0.059308,0.243532,0.093722,85.6098,10016.1221,100.0806,0.029202
2003-S2,2003-07-01,2003-12-31,132,1998-07-01,2003-06-30,0.067627,0.006484,0.080526,0.043021,28.7497,1171.9316,34.2335,0.010124
2004-S1,2004-01-01,2004-06-30,130,1999-01-01,2003-12-31,0.312034,0.109653,0.331139,0.333271,125.3139,17685.4297,132.9866,0.046631
2004-S2,2004-07-01,2004-12-31,132,1999-07-01,2004-06-30,0.48063,0.290414,0.538901,3.110767,163.1397,33459.1523,182.9184,0.065115
2005-S1,2005-01-01,2005-06-30,129,2000-01-01,2004-12-31,0.424824,0.188732,0.434433,0.94077,125.8468,16561.9473,128.6932,0.053697
2005-S2,2005-07-01,2005-12-31,131,2000-07-01,2005-06-30,0.157968,0.029124,0.170657,0.178802,40.3354,1898.8134,43.5754,0.017622
2006-S1,2006-01-01,2006-06-30,130,2001-01-01,2005-12-31,0.371227,0.312053,0.558617,1.85587,89.7752,18249.9922,135.0925,0.036286
2006-S2,2006-07-01,2006-12-31,129,2001-07-01,2006-06-30,0.529995,0.367502,0.606219,1.055329,126.5547,20954.2832,144.756,0.054408
2007-S1,2007-01-01,2007-06-30,127,2002-01-01,2006-12-31,0.685057,0.741423,0.861059,0.336439,161.2596,41083.125,202.6897,0.079777
