periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2018-S1,2018-01-01,2018-06-30,121,2013-01-01,2017-12-31,0.302853,0.102054,0.31946,0.54014,157.1118,27465.3359,165.7267,0.055511
2018-S2,2018-07-01,2018-12-31,123,2013-07-01,2018-06-30,0.422047,0.249965,0.499965,0.400687,198.3554,55213.4961,234.9755,0.063127
2019-S1,2019-01-01,2019-06-30,123,2014-01-01,2018-12-31,0.185533,0.043886,0.209491,0.187979,77.7449,7706.0264,87.784,0.024498
2019-S2,2019-07-01,2019-12-31,128,2014-07-01,2019-06-30,0.333736,0.138458,0.372099,0.220593,116.46,16860.3457,129.8474,0.034178
2020-S1,2020-01-01,2020-06-30,121,2015-01-01,2019-12-31,1.277489,2.551671,1.597395,0.388069,313.1924,153367.2188,391.6213,0.08085
2020-S2,2020-07-01,2020-12-31,123,2015-07-01,2020-06-30,0.521925,0.466031,0.682665,0.322168,140.8308,33930.8125,184.2032,0.039262
2021-S1,2021-01-01,2021-06-30,120,2016-01-01,2020-12-31,0.271329,0.110689,0.3327,0.18661,85.2884,10936.8271,104.5793,0.023239
2021-S2,2021-07-01,2021-12-31,126,2016-07-01,2021-06-30,0.47069,0.280252,0.529389,0.240238,158.5354,31793.0859,178.3062,0.040581
2022-S1,2022-01-01,2022-06-30,124,2017-01-01,2021-12-31,0.258918,0.105385,0.324631,0.190509,96.6228,14676.3057,121.1458,0.025013
2022-S2,2022-07-01,2022-12-31,126,2017-07-01,2022-06-30,1.56741,2.829033,1.681973,0.496016,603.2367,419032.9375,647.3275,0.12885
2023-S1,2023-01-01,2023-06-30,119,2018-01-01,2022-12-31,0.61709,0.575689,0.758742,0.393778,307.441,142894.1562,378.0134,0.069602
2023-S2,2023-07-01,2023-12-31,120,2018-07-01,2023-06-30,0.623758,0.438873,0.662475,1.413439,321.6906,116730.2266,341.6581,0.080034
2024-S1,2024-01-01,2024-06-30,121,2019-01-01,2023-12-31,0.279862,0.090873,0.301452,6.273611,130.3423,19711.4395,140.3974,0.033386
2024-S2,2024-07-01,2024-12-31,125,2019-07-01,2024-06-30,0.647518,0.557799,0.746859,0.888362,264.8746,93337.0156,305.5111,0.061524
2025-S1,2025-01-01,2025-06-30,121,2020-01-01,2024-12-31,0.542687,0.346063,0.588271,1.90857,201.5085,47713.6133,218.4345,0.048517
