periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2022,2022-01-01,2022-12-31,260,2019-01-01,2021-12-31,OWA,2,0.22854,0.091851,0.30307,0.122363,60.8674,6515.2296,80.717,0.014095
2023,2023-01-01,2023-12-31,260,2020-01-01,2022-12-31,OWA,2,0.268158,0.092965,0.304902,1.109629,100.1863,12976.452,113.9142,0.023737
2024,2024-01-01,2024-12-31,262,2021-01-01,2023-12-31,OWA,2,0.086469,0.012826,0.11325,0.441479,34.4847,2039.9008,45.1653,0.00842
2025,2025-01-01,2025-12-31,261,2022-01-01,2024-12-31,OWA,2,0.111667,0.020526,0.143268,1.526693,36.8669,2237.2757,47.2998,0.009097
