periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2022,2022-01-01,2022-12-31,260,2019-01-01,2021-12-31,OWA,1,1.602973,4.578149,2.139661,0.50807,426.922,324739.0079,569.8588,0.093219
2023,2023-01-01,2023-12-31,260,2020-01-01,2022-12-31,OWA,1,1.462442,2.831125,1.682595,7.001147,546.3814,395178.8397,628.6325,0.132333
2024,2024-01-01,2024-12-31,262,2021-01-01,2023-12-31,OWA,1,1.218521,1.976073,1.405729,5.686867,485.9577,314292.2488,560.6177,0.116433
2025,2025-01-01,2025-12-31,261,2022-01-01,2024-12-31,OWA,1,1.06011,1.373327,1.171891,10.150576,349.9953,149691.3202,386.8996,0.086734
