date,COP_USD
2011-01-11,1859.5
2011-01-12,1866.0
2011-01-13,1864.5
2011-01-14,1871.0
2011-01-17,1867.46
2011-01-18,1854.5
2011-01-19,1839.56
2011-01-20,1846.5
2011-01-21,1843.06
2011-01-24,1853.0
2011-01-25,1857.5
2011-01-26,1862.5
2011-01-27,1858.29
2011-01-28,1867.5
2011-01-31,1867.0
2011-02-01,1851.5
2011-02-02,1858.5
2011-02-03,1864.5
2011-02-04,1867.86
2011-02-07,1868.0
2011-02-08,1889.5
2011-02-09,1887.5
2011-02-10,1882.0
2011-02-11,1883.0
2011-02-14,1894.18
2011-02-15,1904.5
2011-02-16,1909.5
2011-02-17,1888.5
2011-02-18,1875.5
2011-02-21,1885.5
2011-02-22,1892.5
2011-02-23,1902.0
2011-02-24,1899.5
2011-02-25,1907.5
2011-02-28,1907.5
2011-03-01,1914.5
2011-03-02,1913.5
2011-03-03,1898.5
2011-03-04,1894.5
2011-03-07,1895.5
2011-03-08,1888.5
2011-03-09,1879.5
2011-03-10,1868.5
2011-03-11,1872.5
2011-03-14,1879.0
2011-03-15,1890.0
2011-03-16,1892.5
2011-03-17,1879.5
2011-03-18,1876.0
2011-03-21,1872.35
2011-03-22,1866.45
2011-03-23,1868.5
2011-03-24,1865.5
2011-03-25,1871.5
2011-03-28,1878.5
2011-03-29,1887.5
2011-03-30,1876.0
2011-03-31,1870.5
2011-04-01,1853.0
2011-04-04,1849.0
2011-04-05,1835.5
2011-04-06,1826.13
2011-04-07,1825.0
2011-04-08,1817.5
2011-04-11,1817.5
2011-04-12,1816.63
2011-04-13,1815.37
2011-04-14,1803.76
2011-04-15,1797.2
2011-04-18,1797.85
2011-04-19,1785.22
2011-04-20,1779.18
2011-04-21,1782.0
2011-04-22,1782.5
2011-04-25,1781.0
2011-04-26,1788.5
2011-04-27,1777.5
2011-04-28,1763.5
2011-05-02,1771.0
2011-05-03,1767.0
2011-05-04,1766.0
2011-05-05,1767.0
2011-05-06,1769.5
2011-05-09,1788.28
2011-05-11,1800.43
2011-05-12,1796.78
2011-05-13,1804.33
2011-05-16,1822.5
2011-05-17,1825.43
2011-05-18,1820.0
2011-05-19,1817.5
2011-05-20,1820.5
2011-05-23,1827.0
2011-05-24,1830.5
2011-05-25,1832.0
2011-05-26,1827.5
2011-05-27,1819.9
2011-05-30,1808.5
2011-05-31,1788.5
2011-06-01,1790.45
2011-06-02,1785.0
2011-06-03,1782.5
2011-06-06,1783.0
2011-06-07,1767.5
2011-06-08,1767.5
2011-06-09,1771.5
2011-06-10,1777.5
2011-06-13,1783.5
2011-06-14,1773.0
2011-06-15,1778.43
2011-06-16,1795.43
2011-06-17,1795.0
2011-06-20,1787.5
2011-06-21,1779.5
2011-06-22,1780.5
2011-06-23,1785.5
2011-06-24,1792.5
2011-06-27,1793.5
2011-06-28,1786.5
2011-06-29,1780.5
2011-06-30,1772.5
2011-07-01,1769.5
2011-07-04,1761.0
2011-07-05,1767.5
2011-07-06,1766.5
2011-07-07,1760.5
2011-07-08,1759.5
2011-07-11,1768.5
2011-07-12,1769.5
2011-07-13,1758.5
2011-07-14,1748.5
2011-07-15,1759.0
2011-07-18,1754.71
2011-07-19,1757.5
2011-07-20,1759.42
2011-07-21,1751.5
2011-07-22,1752.56
2011-07-25,1767.5
2011-07-26,1760.5
2011-07-27,1768.0
2011-07-28,1769.5
2011-07-29,1775.75
2011-08-01,1767.5
2011-08-02,1767.28
2011-08-03,1771.5
2011-08-04,1783.74
2011-08-05,1787.21
2011-08-08,1812.33
2011-08-09,1809.0
2011-08-10,1799.5
2011-08-11,1789.5
2011-08-12,1781.94
2011-08-15,1782.0
2011-08-16,1772.45
2011-08-17,1762.79
2011-08-18,1773.59
2011-08-19,1780.01
2011-08-22,1777.15
2011-08-23,1785.94
2011-08-24,1784.78
2011-08-25,1787.25
2011-08-26,1790.82
2011-08-29,1787.5
2011-08-30,1787.5
2011-08-31,1778.02
2011-09-01,1776.02
2011-09-02,1783.5
2011-09-05,1788.5
2011-09-06,1788.44
2011-09-07,1786.76
2011-09-08,1786.21
