Modelo,RW,h,DM,p_value,significativo_5%
predictions_1993-2025_1_mes_12p_rol.csv,predictions_randomwalk_1993-2025_1_mes_12p_rol.csv,20,6.308896579111456,2.810318644463905e-10,True
predictions_1993-2025_1_mes_24p_rol.csv,predictions_randomwalk_1993-2025_1_mes_12p_rol.csv,20,6.280344547312597,3.37823546914251e-10,True
