year,horizon_days,mae_norm,mse_norm,rmse_norm,mape_norm,mspe_norm,rse_norm,mae_real,mse_real,rmse_real,mape_real,mspe_real,rse_real
2003,30,1.984964067005922,4.922948260728385,2.2187717910430504,11.549050798018218,846.7264168675796,2.21877179104305,72.53482999999993,6573.749758578321,81.0786640157466,0.024699431721461444,0.0007592068554108303,2.2187717910430504
2003,128,1.2876146038207608,2.326193898943176,1.5251865128380777,2.9458945487083477,75.22219910944946,1.5251865128380777,66.22573750000001,6153.578308442501,78.44474685052212,0.02292784042049488,0.0007449781097954606,1.5251865128380775
2003,252,2.4005188985337433,8.07775252776016,2.842138724228668,16.85522469750703,18355.30796721291,2.8421387242286675,116.93466785714284,19167.561171222813,138.44696158176535,0.04092933196549093,0.002367819818560496,2.842138724228668
2004,30,6.333125236584409,42.360026366121275,6.508458063636984,39.59278084055936,5591.643591025252,6.508458063636983,86.10543666666672,7830.350754013007,88.48926914611177,0.03134160355917021,0.0010391533836999658,6.508458063636983
2004,128,3.336189890803979,12.288617641389319,3.5055124648743328,8.823999363913048,497.8495076126808,3.5055124648743323,144.45132734375,23037.989769261803,151.78270576472738,0.05371578096556642,0.003213572298337974,3.5055124648743328
2004,252,3.0077392361096704,10.665396102803575,3.2657918033462536,8.314441491315826,449.10325239269446,3.2657918033462536,267.3447503968253,84263.58809818081,290.2819114209165,0.102988073352297,0.012829904112914027,3.2657918033462536
2005,30,7.723920279666726,62.7237246243932,7.919831098223825,55.94186004000816,16677.55644994491,7.919831098223825,122.75666999999999,15843.330134194997,125.87029091169606,0.05201079070871502,0.002848459200376393,7.919831098223824
2005,128,10.640252997805783,120.34597083478923,10.970231120390729,38.18306818007042,10780.56970632912,10.970231120390727,222.12768828124996,52448.49605965476,229.01636635763558,0.0947536629850996,0.009563378926092577,10.970231120390729
2005,252,11.1358852728397,134.99739517897802,11.618837944432224,28.40514719639832,3579.4387784998576,11.618837944432222,352.197632936508,135035.74922378757,367.47210672891566,0.15219903501838283,0.025360514244482685,11.618837944432224
2006,30,2.0802039863817874,5.515235598026815,2.3484538739406435,8.5178398428652,240.47257452571804,2.3484538739406435,16.537733333333275,348.5813842186646,18.67033433601725,0.007299455460421447,6.806701096261678e-05,2.348453873940643
2006,128,0.7770621210192418,1.3736787013958274,1.1720404009230345,1.787088015490869,12.684853211099469,1.1720404009230345,85.90775468750002,16789.52551972985,129.57440148320134,0.03482682693266882,0.0026274534314518986,1.1720404009230347
2006,252,0.8622454993443391,1.4154964775940029,1.1897463921332154,3.8521645418301143,365.70943267694537,1.1897463921332154,85.28955039682542,13849.642742336948,117.68450510724404,0.03482861299378309,0.0021978367843166154,1.1897463921332154
2007,30,3.5996695569782426,14.620594502812715,3.8236885990902443,44.00395359009468,19978.2059022669,3.823688599090244,48.89608275862073,2697.6642535117276,51.93904363301011,0.021902165461042674,0.0005427975286855354,3.8236885990902443
2007,128,1.3064325599088864,2.724549487211095,1.650620939892347,3.3812712185805838,116.86721336596632,1.6506209398923468,159.0930232,40403.87125860967,201.00714230745552,0.07865219869775282,0.010436361918482068,1.6506209398923473
2007,252,2.5009647208694297,7.557296163661346,2.749053685118089,7.294973565572309,571.1671201551533,2.7490536851180893,274.3969534136546,90972.44800487881,301.61639213557146,0.1355368038161545,0.0228087102115896,2.749053685118089
2008,30,1.9389878396766462,4.897401185470099,2.213007271897248,4.62397592422073,60.55659870459553,2.2130072718972476,65.50104482758618,5588.715043148619,74.75770892121173,0.03363915337895422,0.0014885832302478346,2.213007271897248
2008,128,2.1292652957486102,5.5681084164216,2.3596839653694306,6.3545317659909255,174.73651185367547,2.3596839653694306,193.1315776,45809.410964866394,214.03133173642217,0.10785967145183428,0.014675196265667252,2.35968396536943
2008,252,1.011278748879905,1.2354955333098414,1.1115284671612515,1.9574844168691752,10.769515173635037,1.1115284671612515,216.30655951417006,56524.76909172528,237.7493829470968,0.11423038404188418,0.016518683099755977,1.1115284671612515
2009,30,0.8379536412294248,1.2280946279163036,1.1081943096390199,1.4481283667360532,11.188285380936962,1.1081943096390199,90.69933793103446,14387.988448108263,119.94994142603097,0.03778223076770407,0.002401659664788703,1.1081943096390199
2009,128,0.8567774348091672,1.071948609463977,1.0353495107759394,1.0593786225113033,1.6038142094171544,1.0353495107759396,136.12747401574805,27060.10623141497,164.49956301283893,0.058251179803957887,0.0049220479028558965,1.0353495107759394
2009,252,0.9543437782964779,1.1548287122855567,1.0746295697986152,1.4359155668744605,6.1923199475168635,1.0746295697986152,197.35277211155378,49384.91859532749,222.2271778953409,0.09372946060917806,0.011423757478583799,1.0746295697986152
2010,30,3.4054941344049303,13.773929310075061,3.7113244684445283,16.70327232042325,2804.480200248255,3.711324468444528,49.638753571428545,2926.437897277498,54.09656086367689,0.025191067109667002,0.0007552152500546165,3.711324468444528
2010,128,2.7894401365699264,8.900402719639287,2.9833542732366345,11.799047271513995,2454.160689370199,2.9833542732366354,92.26284761904762,9737.092055447933,98.67670472531971,0.047696023853169935,0.002626936632089208,2.9833542732366336
2010,252,2.5059596094280088,7.427570067556102,2.7253568697614816,13.75542022924688,2963.491193479083,2.7253568697614816,159.10276760000002,29940.158303859724,173.03224642782547,0.08523483423099346,0.008780016423251123,2.725356869761482
