Modelo_DFGCN,RW_correspondiente,Horizonte,h,DM_stat,p_value,significativo_5%,N_obs
predictions_1993-2025_1_mes_12p_rol.csv,predictions_randomwalk_1993-2025_1_mes_12p_rol.csv,1_mes,20,17.789654,0.0,True,171097
predictions_1993-2025_1_mes_24p_rol.csv,predictions_randomwalk_1993-2025_1_mes_12p_rol.csv,1_mes,20,17.073789,0.0,True,165455
