periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2021,2021-01-01,2021-12-31,261,2019-01-01,2020-12-31,OWA,2,0.123942,0.025959,0.161118,0.264511,33.4082,1886.0719,43.4289,0.008895
2022,2022-01-01,2022-12-31,260,2020-01-01,2021-12-31,OWA,2,0.440186,0.331459,0.575724,1.308157,81.7765,11439.6714,106.9564,0.019226
2023,2023-01-01,2023-12-31,260,2021-01-01,2022-12-31,OWA,2,1.68516,2.882869,1.697901,9.124459,662.7167,445860.0319,667.7275,0.154318
2024,2024-01-01,2024-12-31,262,2022-01-01,2023-12-31,OWA,2,0.109776,0.018785,0.137059,0.339799,39.4407,2424.8439,49.2427,0.009635
2025,2025-01-01,2025-12-31,261,2023-01-01,2024-12-31,OWA,2,0.144401,0.033964,0.184294,0.691957,42.0015,2873.5086,53.6051,0.010374
