periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2021-S1,2021-01-01,2021-06-30,120,2019-01-01,2020-12-31,0.28204,0.128514,0.358488,3.003276,75.745,9269.0947,96.2761,0.020779
2021-S2,2021-07-01,2021-12-31,126,2019-07-01,2021-06-30,0.748488,0.709106,0.842084,0.53572,157.4003,31358.2656,177.0827,0.040293
2022-S1,2022-01-01,2022-06-30,124,2020-01-01,2021-12-31,0.514057,0.380442,0.6168,3.597353,95.61,13160.5352,114.7194,0.02455
2022-S2,2022-07-01,2022-12-31,126,2020-07-01,2022-06-30,4.030427,18.336569,4.282122,0.764881,642.6648,466213.6562,682.7984,0.137495
2023-S1,2023-01-01,2023-06-30,119,2021-01-01,2022-12-31,0.837285,1.032699,1.016218,1.111172,327.5352,158031.2812,397.5315,0.074062
2023-S2,2023-07-01,2023-12-31,120,2021-07-01,2023-06-30,0.853514,0.816392,0.903544,4.023894,335.6607,126263.6328,355.3359,0.083472
2024-S1,2024-01-01,2024-06-30,121,2022-01-01,2023-12-31,0.371529,0.159791,0.399739,0.375068,132.8261,20423.6582,142.9114,0.034049
2024-S2,2024-07-01,2024-12-31,125,2022-07-01,2024-06-30,0.676517,0.711423,0.843459,3.652931,238.7798,88626.9688,297.7028,0.055168
2025-S1,2025-01-01,2025-06-30,121,2023-01-01,2024-12-31,0.687331,0.557555,0.746696,5.636215,198.149,46338.1992,215.2631,0.047713
