periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1993-S2,1993-07-01,1993-12-31,132,1.300229,1.946694,1.39524,0.459033,19.7658,449.8678,21.2101,0.024407
1994-S1,1994-01-01,1994-06-30,129,0.989679,1.164027,1.078901,0.57037,23.5402,658.5595,25.6624,0.028355
1994-S2,1994-07-01,1994-12-31,131,0.346148,0.182911,0.427681,0.314712,9.5105,138.0782,11.7507,0.011418
1995-S1,1995-01-01,1995-06-30,130,1.244248,1.778764,1.333703,0.546673,33.5421,1292.6644,35.9536,0.038571
1995-S2,1995-07-01,1995-12-31,130,2.335744,6.733598,2.594918,0.509385,79.4992,7800.4893,88.3204,0.081227
1996-S1,1996-01-01,1996-06-30,130,0.893659,0.920685,0.959523,0.269968,56.7691,3715.282,60.9531,0.053895
1996-S2,1996-07-01,1996-12-31,132,0.455793,0.279173,0.528368,0.302677,42.2104,2394.2859,48.9314,0.041711
1997-S1,1997-01-01,1997-06-30,129,0.566441,0.36056,0.600467,0.321905,57.3813,3700.0674,60.8282,0.053641
1997-S2,1997-07-01,1997-12-31,132,1.162612,1.852758,1.36116,0.368121,127.7964,22386.4902,149.6212,0.101159
1998-S1,1998-01-01,1998-06-30,129,0.452183,0.233057,0.482759,0.150427,64.1381,4688.834,68.4751,0.046892
1998-S2,1998-07-01,1998-12-31,132,0.683608,0.673921,0.820927,0.218559,123.6179,22037.2422,148.4495,0.079924
1999-S1,1999-01-01,1999-06-30,129,0.243957,0.114803,0.338827,0.087738,55.0281,5841.1333,76.4273,0.033303
1999-S2,1999-07-01,1999-12-31,132,0.627869,0.451483,0.671925,0.19181,167.067,31965.75,178.7897,0.086185
2000-S1,2000-01-01,2000-06-30,130,0.387248,0.197013,0.443861,0.143748,130.9865,22540.8379,150.1361,0.064152
2000-S2,2000-07-01,2000-12-31,130,0.088268,0.01074,0.103632,0.034479,34.7308,1662.6642,40.7758,0.015837
